date,minTemp,maxTemp,precip
1948-08-09,286.75,292.15,18.00
1948-08-10,286.35,292.15,27.50
1948-08-11,284.45,293.95,0.60
1948-08-12,282.05,288.55,21.20
1948-08-13,280.35,289.45,0.00
1948-08-14,279.35,284.95,6.50
1948-08-15,282.65,293.05,0.20
1948-08-16,280.35,298.55,0.00
1948-08-17,283.65,299.55,0.00
1948-08-18,285.65,292.15,0.40
1948-08-19,285.65,292.15,7.30
1948-08-20,281.35,293.95,15.90
1948-08-21,282.65,293.95,0.00
1948-08-22,282.65,290.35,1.20
1948-08-23,284.65,294.85,0.00
1948-08-24,283.65,297.75,0.00
1948-08-25,287.75,300.45,0.00
1948-08-26,287.75,298.55,0.00
1948-08-27,288.35,296.65,7.90
1948-08-28,285.65,293.95,2.70
1948-08-29,285.65,288.75,3.30
1948-08-30,283.65,294.85,0.00
1948-08-31,281.55,296.65,0.00
1948-09-01,281.75,295.15,6.20
1948-09-02,285.25,292.45,0.00
1948-09-03,280.65,295.15,0.20
1948-09-04,284.65,295.15,4.90
1948-09-05,284.45,296.15,0.00
1948-09-06,282.75,291.55,8.80
1948-09-07,283.55,287.05,0.70
1948-09-08,279.65,292.45,0.00
1948-09-09,280.15,295.15,0.00
1948-09-10,282.75,298.05,0.00
1948-09-11,283.75,300.05,0.00
1948-09-12,284.65,296.15,0.00
1948-09-13,283.75,289.75,25.10
1948-09-14,282.35,291.55,0.00
1948-09-15,283.75,294.25,1.80
1948-09-16,285.65,292.45,0.10
1948-09-17,283.65,292.45,0.00
1948-09-18,278.65,294.25,0.00
1948-09-19,280.65,294.25,0.00
1948-09-20,277.55,294.25,0.00
1948-09-21,280.25,285.25,2.10
1948-09-22,275.45,287.95,0.00
1948-09-23,276.45,287.95,0.00
1948-09-24,277.55,290.65,0.60
1948-09-25,279.35,293.35,0.00
1948-09-26,279.65,294.25,0.00
1948-09-27,279.65,293.35,0.00
1948-09-28,279.65,295.15,0.00
1948-09-29,281.65,296.15,1.30
1948-09-30,283.75,287.95,6.50
1948-10-01,281.75,290.65,0.00
1948-10-02,276.45,291.55,0.00
1948-10-03,279.45,294.25,0.00
1948-10-04,280.65,294.25,6.30
1948-10-05,278.35,286.15,18.50
1948-10-06,278.35,285.25,0.40
1948-10-07,279.45,282.55,1.60
1948-10-08,279.45,287.05,0.00
1948-10-09,279.45,288.85,0.00
1948-10-10,275.45,287.95,0.00
1948-10-11,274.35,288.85,0.00
1948-10-12,275.45,290.65,0.00
1948-10-13,278.65,287.95,0.00
1948-10-14,277.55,290.65,0.00
1948-10-15,278.35,288.85,0.00
1948-10-16,278.65,285.25,0.40
1948-10-17,279.65,289.75,0.00
1948-10-18,278.65,288.85,0.00
1948-10-19,276.45,282.55,28.50
1948-10-20,275.95,282.55,2.30
1948-10-21,271.25,284.35,0.00
1948-10-22,272.35,286.15,0.00
1948-10-23,276.45,287.95,0.00
1948-10-24,277.45,288.85,0.00
1948-10-25,276.45,287.95,0.00
1948-10-26,281.35,291.35,3.80
1948-10-27,279.65,284.35,0.80
1948-10-28,279.25,280.65,1.80
1948-10-29,278.25,282.55,0.00
1948-10-30,273.95,281.65,0.00
1948-10-31,277.55,281.65,0.20
1948-11-01,277.15,284.35,0.00
1948-11-02,274.35,283.45,0.00
1948-11-03,277.55,284.35,1.10
1948-11-04,276.45,284.35,0.00
1948-11-05,275.45,288.85,1.00
1948-11-06,279.25,284.35,0.00
1948-11-07,276.45,284.35,10.90
1948-11-08,278.25,280.65,4.80
1948-11-09,272.35,279.75,0.00
1948-11-10,270.25,280.65,0.00
1948-11-11,270.25,281.65,0.00
1948-11-12,271.05,282.55,0.00
1948-11-13,272.35,283.45,0.00
1948-11-14,275.45,287.05,0.00
1948-11-15,278.25,286.15,0.00
1948-11-16,275.45,279.35,10.30
1948-11-17,275.05,277.95,0.00
1948-11-18,275.45,281.65,0.00
1948-11-19,272.35,280.65,0.00
1948-11-20,271.85,279.75,0.00
1948-11-21,270.25,279.75,0.00
1948-11-22,270.25,274.15,0.00
1948-11-23,270.25,276.05,0.00
1948-11-24,271.25,275.05,0.00
1948-11-25,268.15,273.15,0.00
1948-11-26,267.05,274.15,0.00
1948-11-27,267.05,273.15,0.00
1948-11-28,268.95,274.25,0.00
1948-11-29,267.85,273.15,0.00
1948-11-30,268.15,273.15,0.00
1948-12-01,268.85,273.85,0.00
1948-12-02,268.95,275.95,0.00
1948-12-03,271.25,275.95,0.00
1948-12-04,271.05,275.95,0.60
1948-12-05,272.25,278.05,0.00
1948-12-06,270.15,274.95,0.00
1948-12-07,269.15,274.15,0.00
1948-12-08,271.05,275.95,0.00
1948-12-09,269.15,274.95,0.00
1948-12-10,268.85,274.35,0.00
1948-12-11,271.25,277.95,0.00
1948-12-12,275.45,287.05,0.00
1948-12-13,275.45,283.05,0.00
1948-12-14,272.25,277.95,0.00
1948-12-15,274.45,279.95,4.30
1948-12-16,272.25,277.25,3.40
1948-12-17,271.15,273.85,2.80
1948-12-18,270.15,273.85,0.40
1948-12-19,264.55,271.25,0.00
1948-12-20,263.85,267.75,0.00
1948-12-21,262.85,266.75,0.00
1948-12-22,261.85,265.75,0.00
1948-12-23,258.65,265.75,0.00
1948-12-24,259.75,264.75,0.00
1948-12-25,257.45,264.75,0.00
1948-12-26,259.75,264.75,0.00
1948-12-27,259.55,264.75,0.00
1948-12-28,261.65,266.75,0.00
1948-12-29,262.85,270.05,0.00
1948-12-30,268.95,272.85,2.50
1948-12-31,269.15,281.05,5.80
1949-01-01,267.35,282.35,0.00
1949-01-02,278.55,285.05,5.70
1949-01-03,274.45,279.95,11.30
1949-01-04,268.85,275.15,0.00
1949-01-05,267.05,271.85,0.00
1949-01-06,267.05,271.85,0.00
1949-01-07,264.95,271.85,0.00
1949-01-08,268.05,273.15,2.30
1949-01-09,268.85,272.85,4.60
1949-01-10,263.95,269.85,0.00
1949-01-11,261.85,267.75,0.00
1949-01-12,263.95,270.85,3.80
1949-01-13,267.75,271.05,1.20
1949-01-14,263.95,269.85,0.60
1949-01-15,267.05,273.85,11.40
1949-01-16,270.95,273.35,9.10
1949-01-17,272.25,274.95,5.40
1949-01-18,272.25,276.95,0.00
1949-01-19,270.15,277.95,0.00
1949-01-20,271.25,276.95,0.00
1949-01-21,270.15,276.95,10.20
1949-01-22,269.15,276.95,4.70
1949-01-23,264.95,272.85,0.00
1949-01-24,262.85,274.95,0.00
1949-01-25,263.95,272.85,0.00
1949-01-26,264.55,275.95,0.00
1949-01-27,265.95,276.95,0.00
1949-01-28,268.05,277.95,0.00
1949-01-29,267.05,278.95,0.00
1949-01-30,265.95,277.95,0.90
1949-01-31,265.95,272.85,4.60
1949-02-01,265.95,272.85,2.60
1949-02-02,262.85,267.05,0.70
1949-02-03,258.35,268.85,0.00
1949-02-04,256.65,270.85,0.00
1949-02-05,260.75,274.95,0.00
1949-02-06,263.95,276.95,0.00
1949-02-07,263.95,277.95,0.00
1949-02-08,265.95,278.95,0.00
1949-02-09,269.15,276.95,0.30
1949-02-10,271.25,282.05,0.00
1949-02-11,267.95,278.95,0.00
1949-02-12,263.95,276.95,0.00
1949-02-13,264.95,277.95,0.00
1949-02-14,264.95,277.95,0.00
1949-02-15,264.95,279.95,0.00
1949-02-16,267.05,281.05,0.00
1949-02-17,268.05,283.05,0.00
1949-02-18,269.75,284.05,0.00
1949-02-19,272.25,278.95,0.00
1949-02-20,271.85,283.05,0.00
1949-02-21,270.15,284.05,0.00
1949-02-22,271.25,284.05,0.00
1949-02-23,271.25,283.05,0.00
1949-02-24,271.95,281.05,2.30
1949-02-25,273.35,279.95,0.00
1949-02-26,272.25,283.05,0.00
1949-02-27,268.05,282.05,0.00
1949-02-28,269.15,275.95,0.00
1949-03-01,266.35,273.95,13.70
1949-03-02,267.75,270.95,0.90
1949-03-03,264.55,267.95,1.90
1949-03-04,263.65,268.95,0.00
1949-03-05,259.75,270.95,0.00
1949-03-06,262.75,270.95,0.00
1949-03-07,262.75,272.95,0.00
1949-03-08,263.65,273.95,0.00
1949-03-09,269.15,282.85,0.00
1949-03-10,272.85,283.75,0.00
1949-03-11,272.85,281.85,0.00
1949-03-12,272.85,280.85,0.00
1949-03-13,274.65,286.55,0.00
1949-03-14,274.65,284.75,0.80
1949-03-15,272.35,279.95,3.30
1949-03-16,271.95,277.95,6.60
1949-03-17,272.75,277.95,0.80
1949-03-18,271.05,279.05,6.10
1949-03-19,270.05,274.95,0.20
1949-03-20,269.15,274.95,0.00
1949-03-21,268.85,274.95,0.00
1949-03-22,269.65,278.95,0.00
1949-03-23,270.05,282.85,0.00
1949-03-24,270.65,287.55,0.00
1949-03-25,271.95,290.35,0.00
1949-03-26,272.85,291.35,0.00
1949-03-27,273.65,292.25,0.00
1949-03-28,274.65,291.35,0.00
1949-03-29,275.35,291.35,0.00
1949-03-30,276.55,289.45,0.00
1949-03-31,276.55,283.75,0.70
1949-04-01,274.35,288.45,0.00
1949-04-02,273.75,291.35,0.00
1949-04-03,276.55,290.35,0.00
1949-04-04,276.55,295.15,0.00
1949-04-05,280.65,285.65,1.80
1949-04-06,280.65,294.15,0.00
1949-04-07,276.55,286.55,15.10
1949-04-08,273.75,279.95,2.10
1949-04-09,271.95,275.95,0.20
1949-04-10,271.05,280.85,0.00
1949-04-11,270.05,288.45,0.00
1949-04-12,275.55,288.55,6.10
1949-04-13,280.65,291.35,3.30
1949-04-14,278.25,297.05,0.00
1949-04-15,278.55,296.15,0.00
1949-04-16,277.55,296.15,0.00
1949-04-17,279.35,298.05,0.00
1949-04-18,280.65,298.05,0.00
1949-04-19,282.75,294.15,1.20
1949-04-20,282.75,293.25,1.20
1949-04-21,279.55,297.05,0.00
1949-04-22,284.55,292.35,4.00
1949-04-23,279.35,290.35,0.00
